id,Restaurant,Adress,Time,Price,City
58,Ăn Vặt Mèo Lười - Trương Phước Phan,"109/28A Trương Phước Phan, P. Bình Trị Đông, Bình Tân, TP. HCM",Đã đóng,3.000 - 22.000,HCM
59,Sann Tea - Nguyễn Xuân Ôn,"23 Nguyễn Xuân Ôn, P. 2, Bình Thạnh, TP. HCM",Đã đóng,15.000 - 25.000,HCM
60,Cơm Ký - Thức Ăn Chế Biến Sẵn,"44/25 Sư Vạn Hạnh, P. 9, Quận 5, TP. HCM",Đã đóng,25.000 - 40.000,HCM
61,Lạc Coffee & Tea,"1183 Nguyễn Duy Trinh, P. Long Trường, Quận 9, TP. HCM",Đã đóng,10.000 - 60.000,HCM
62,Vits Up - Sinh Tố & Nước Ép,"212/2A Nguyễn Văn Nguyễn, P. Tân Định, Quận 1, TP. HCM",Đã đóng,20.000 - 50.000,HCM
63,Quán Cơm Ngân Ký - Dương Bá Trạc,"220 Dương Bá Trạc, P. 2, Quận 8, TP. HCM",Đã đóng,35.000 - 50.000,HCM
64,B&B Coffee & Tea - Võ Thị Sáu,"14A Võ Thị Sáu, P. Tân Định, Quận 1, TP. HCM",Đã đóng,20.000 - 60.000,HCM
65,Ball Food - Cá Viên Chiên - Shop Online,"76 Lý Thường Kiệt, P. 7, Gò Vấp, TP. HCM",17:00 - 22:00,20.000 - 60.000,HCM
66,CB - Coffee & Beer - Nguyễn Văn Đậu,"101/21 Nguyễn Văn Đậu, P. 5, Bình Thạnh, TP. HCM",Đã đóng,20.000 - 30.000,HCM
67,Sữa Đậu Ula - Shop Online,"534/6C Điện Biên Phủ, P. 21, Bình Thạnh, TP. HCM",Đã đóng,16.000 - 42.000,HCM
68,Gangnam Topokki Buffet,"714 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",Đã đóng,65.000 - 65.000,HCM
69,Kem Trái Cây Khói - Man Thiện,"209 Man Thiện, P. Hiệp Phú, Quận 9, TP. HCM",Đã đóng,20.000 - 50.000,HCM
70,"So! Coffee, Sinh Tố & Trà Trái Cây","15 Nguyễn Quý Đức, P. An Phú, Thành Phố Thủ Đức, TP. HCM",Đã đóng,25.000 - 38.000,HCM
71,Italio - Kem Ý Tự Chọn & Trà Trà Trái Cây,"60C Quang Trung, P. Tăng Nhơn Phú B, Quận 9, TP. HCM",Đã đóng,15.000 - 60.000,HCM
72,Tiger - Trà Sữa & Trà Trái Cây,"42 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",Đã đóng,6.000 - 58.000,HCM
73,Bà Sẫm - Ăn Vặt,"25/7 Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",Đã đóng,30.000 - 120.000,HCM
74,VoKa Tea - Trà Trái Cây & Trà Sữa,"215 Lê Hồng Phong, P. 4, Quận 10, TP. HCM",Đã đóng,20.000 - 50.000,HCM
75,Sinh Tố Honey - Nguyễn Thái Sơn,"332 Nguyễn Thái Sơn, P. 4, Gò Vấp, TP. HCM",Đã đóng,12.000 - 70.000,HCM
76,Ẩm Thực Ngũ Hành - Nước Sâm Nước Mát & Rau Câu Hoa Quả - Bùi Tư Toàn,"122/7/25A Bùi Tư Toàn, P. An Lạc, Bình Tân, TP. HCM",Đã đóng,23.000 - 38.000,HCM
77,À Cafe - Bạch Đằng,"A41 Bạch Đằng, P. 2, Tân Bình, TP. HCM",Đã đóng,18.000 - 35.000,HCM
78,Hamburger & Chicken Rice - Bình Tây,"99/17A Bình Tây, P. 1, Quận 6, TP. HCM",Đã đóng,30.000 - 38.000,HCM
79,Bosix Chicken,"542 Thống Nhất, P. 16, Gò Vấp, TP. HCM",Đã đóng,7.000 - 25.000,HCM
80,Haru & Natsu Tea - Phan Huy Ích,"160/35B Phan Huy Ích, P. 12, Gò Vấp, TP. HCM",Đã đóng,19.000 - 19.000,HCM
81,Cơm Tấm Dì Gái - Trần Xuân Soạn,"67/13 Trần Xuân Soạn, P. Tân Thuận Tây, Quận 7, TP. HCM",Đã đóng,5.000 - 58.000,HCM
82,Thơm - Bánh Ngon Nhà Làm,"17 Đường Số 3A, P. Bình Hưng Hòa A, Bình Tân, TP. HCM",Đã đóng,80.000 - 125.000,HCM
